@relation Crop_recommendation

@attribute N numeric
@attribute P numeric
@attribute K numeric
@attribute temperature numeric
@attribute humidity numeric
@attribute ph numeric
@attribute rainfall numeric
@attribute label {rice,maize,chickpea,kidneybeans,pigeonpeas,mothbeans,mungbean,blackgram,lentil,pomegranate,banana,mango,grapes,watermelon,muskmelon,apple,orange,papaya,coconut,cotton,jute,coffee}

@data
8,59,18,29.50523,35.720325,6.216814,187.896185,pigeonpeas
2,67,18,34.519348,47.5298,5.921667,129.006461,pigeonpeas
1,76,17,28.434307,52.100108,6.012719,147.041482,pigeonpeas
16,73,19,18.416456,34.80541,4.684079,163.274747,pigeonpeas
23,75,25,31.07509,47.198477,7.07717,91.312564,pigeonpeas
32,70,20,20.893427,46.248565,6.208843,195.569787,pigeonpeas
28,59,22,30.906078,52.79913,7.051816,170.991983,pigeonpeas
5,62,23,27.934828,66.454571,4.722222,145.37288,pigeonpeas
36,67,25,35.951766,36.527808,6.418063,136.045675,pigeonpeas
1,66,23,19.543172,56.928314,4.803564,173.168657,pigeonpeas
24,73,20,19.637362,32.315289,4.608695,176.413409,pigeonpeas
17,67,18,31.219275,56.468689,5.611511,129.202865,pigeonpeas
5,55,18,33.508764,45.709761,7.322098,126.673812,pigeonpeas
5,56,24,24.807102,45.0111,5.023115,188.492864,pigeonpeas
37,77,17,36.209705,31.945506,5.617123,191.065853,pigeonpeas
13,73,20,30.504209,35.48886,5.39156,162.592772,pigeonpeas
6,63,23,26.016303,49.947047,5.906597,160.333745,pigeonpeas
16,77,22,31.484693,35.639561,6.57421,100.546816,pigeonpeas
25,64,20,33.151226,32.459745,4.807777,105.038027,pigeonpeas
34,75,24,23.502228,51.290195,4.760038,192.302399,pigeonpeas
20,77,23,34.872487,38.83786,5.180272,148.250279,pigeonpeas
35,80,25,28.09269,44.93322,4.895927,197.114401,pigeonpeas
14,75,24,24.547578,57.341448,6.43616,118.360656,pigeonpeas
36,80,21,33.647696,48.414901,7.066087,100.467328,pigeonpeas
7,77,18,20.559126,60.548807,6.655918,191.089511,pigeonpeas
29,78,25,19.959917,59.331578,5.982855,195.787103,pigeonpeas
30,60,21,28.876676,62.490121,5.457871,182.268818,pigeonpeas
20,74,16,36.043537,43.614441,4.75949,159.893865,pigeonpeas
19,57,23,23.673433,47.287969,7.34241,141.125072,pigeonpeas
3,60,19,25.746794,40.719259,4.820788,100.779163,pigeonpeas
5,77,19,31.08565,66.68833,6.242052,175.930327,pigeonpeas
5,68,20,18.729877,61.331862,5.001039,139.871004,pigeonpeas
37,73,21,29.503048,63.465134,5.560225,189.520892,pigeonpeas
9,59,24,20.435178,39.372526,4.747352,137.227966,pigeonpeas
20,72,15,36.004158,56.013344,7.313517,134.859647,pigeonpeas
31,56,23,31.468462,35.39454,5.661826,174.5724,pigeonpeas
0,70,21,36.300497,56.030213,4.672437,101.607399,pigeonpeas
21,74,15,29.490967,67.106044,6.471862,153.250451,pigeonpeas
13,67,18,30.575304,34.755912,5.384763,177.57643,pigeonpeas
27,74,20,24.694877,59.966692,5.859813,91.957924,pigeonpeas
29,72,24,23.174096,36.678471,6.962386,162.593126,pigeonpeas
5,68,20,19.043805,33.106951,6.121667,155.370562,pigeonpeas
39,57,19,29.323796,45.932484,6.421748,165.411337,pigeonpeas
22,62,16,34.645541,54.323425,4.828936,180.901,pigeonpeas
18,55,23,21.998983,56.310068,6.98572,136.827431,pigeonpeas
39,77,21,22.997744,60.242186,4.603563,159.689339,pigeonpeas
13,75,20,30.559924,35.290065,6.97954,178.899861,pigeonpeas
27,71,24,31.464179,48.176315,7.064973,165.405354,pigeonpeas
26,64,22,25.950586,40.582273,5.165165,109.182118,pigeonpeas
23,55,16,21.011424,69.691413,5.111489,185.203911,pigeonpeas
4,69,19,19.251001,47.703518,5.374359,149.063196,pigeonpeas
20,67,19,19.244628,50.544953,5.671419,180.646528,pigeonpeas
7,74,17,22.472532,62.565325,5.66742,96.74707,pigeonpeas
17,64,18,36.750875,58.257991,6.079385,124.602815,pigeonpeas
35,71,17,29.892866,66.353751,6.931925,198.1403,pigeonpeas
11,72,22,29.377356,44.822946,6.842744,172.40168,pigeonpeas
20,60,22,29.650529,42.898332,6.876573,186.922605,pigeonpeas
10,71,18,19.542849,66.347773,6.151029,173.110698,pigeonpeas
33,61,24,20.046118,48.939056,4.567446,122.45642,pigeonpeas
3,49,18,27.910952,64.709306,3.692864,32.678919,mothbeans
22,59,23,27.322206,51.278688,4.371746,36.503791,mothbeans
36,58,25,28.660242,59.318912,8.399136,36.926297,mothbeans
4,43,18,29.029553,61.093875,8.840656,72.980166,mothbeans
29,54,16,27.780315,54.6503,8.153023,32.050253,mothbeans
32,43,22,31.999286,54.107746,5.270749,71.62667,mothbeans
14,55,15,27.335809,55.277559,8.050304,73.447753,mothbeans
5,35,20,28.929526,53.570147,9.679241,66.356341,mothbeans
25,57,24,27.654722,58.599863,6.974978,36.94255,mothbeans
11,53,24,28.523967,55.772644,7.393899,61.329356,mothbeans
40,49,17,31.022159,45.892395,6.687275,53.567833,mothbeans
38,56,25,25.740953,45.384971,7.881186,67.434882,mothbeans
27,43,23,31.704475,56.854201,5.875334,44.943174,mothbeans
24,38,22,24.478765,58.516639,8.202706,34.969333,mothbeans
23,45,21,31.465113,51.799394,8.985348,74.443307,mothbeans
29,57,20,25.609734,50.733007,5.877075,53.392495,mothbeans
31,35,23,30.302605,47.182836,7.707595,68.040398,mothbeans
0,55,25,28.174894,43.66723,4.524172,45.781728,mothbeans
7,45,22,25.506346,44.830255,9.926212,74.326351,mothbeans
17,58,25,31.128968,43.587888,6.455593,32.767429,mothbeans
11,44,17,26.340433,55.591604,8.016211,35.10512,mothbeans
22,49,22,28.234947,61.562052,3.711059,72.666664,mothbeans
9,51,19,27.044535,49.326096,5.490911,48.252078,mothbeans
28,48,15,25.161254,55.254358,9.254089,40.897328,mothbeans
26,50,19,27.317912,51.669211,6.005243,32.559196,mothbeans
36,56,20,25.412377,49.664743,7.437078,31.87417,mothbeans
8,60,18,31.2163,46.018682,3.808429,53.120528,mothbeans
24,37,21,30.573999,58.226868,5.818219,62.748038,mothbeans
22,43,24,25.42517,53.220827,4.523636,46.193746,mothbeans
36,43,24,27.094006,43.653054,3.510404,41.537495,mothbeans
22,44,24,24.309351,56.329383,6.030447,58.995363,mothbeans
17,43,22,30.061426,45.900677,5.498341,41.055092,mothbeans
8,45,15,28.09569,60.983538,4.611364,33.841108,mothbeans
7,56,23,26.339088,40.009334,5.545219,55.504292,mothbeans
36,57,16,28.614091,57.142188,8.292876,57.028917,mothbeans
11,45,19,28.700121,44.359648,3.828031,44.116221,mothbeans
6,36,22,24.216103,59.792363,8.869533,42.247835,mothbeans
17,57,20,28.506779,45.200945,3.793575,66.176146,mothbeans
4,47,20,25.97949,64.955854,4.193189,72.192458,mothbeans
9,49,16,30.884827,41.365618,7.661537,55.053805,mothbeans
25,51,24,25.504242,61.668524,9.392695,65.079815,mothbeans
36,44,21,25.125289,51.331894,4.516154,38.48679,mothbeans
21,38,20,27.10508,63.567914,5.79429,62.202796,mothbeans
37,57,20,31.100625,44.820692,7.354287,70.799345,mothbeans
32,48,18,26.457078,56.402263,5.993514,64.161677,mothbeans
29,44,20,30.041323,63.56223,8.620108,31.831924,mothbeans
25,51,18,27.777995,54.821308,9.459493,50.284387,mothbeans
10,44,24,30.992569,43.021514,8.034413,58.276007,mothbeans
23,35,18,26.490833,47.365348,5.414493,36.993628,mothbeans
9,60,23,31.969879,57.17377,6.276004,64.255204,mothbeans
3,58,21,25.361405,46.826528,9.160692,55.605232,mothbeans
22,42,22,25.542491,56.966408,7.887659,48.46797,mothbeans
12,39,21,28.993191,62.859482,8.183845,70.471304,mothbeans
39,36,22,29.343174,60.503209,9.072011,34.033355,mothbeans
32,41,16,28.636189,61.394513,7.702287,68.548779,mothbeans
30,41,15,24.832066,44.17085,5.885097,52.081089,mothbeans
19,36,22,25.446891,58.553636,6.164963,57.048266,mothbeans
4,46,15,31.012749,62.403925,3.504752,63.771924,mothbeans
21,39,20,27.061797,52.300317,7.388007,60.745835,mothbeans
35,57,25,27.095629,42.262062,8.340398,71.127104,mothbeans
22,55,24,28.568006,57.30636,8.66078,64.530276,mothbeans
35,51,17,28.799292,49.842134,3.558823,40.855347,mothbeans
17,56,17,27.942937,45.413936,5.956585,69.6629,mothbeans
28,57,17,30.477577,61.582453,9.416003,61.866339,mothbeans
22,36,16,30.581395,50.771481,8.184229,64.585596,mothbeans
11,41,19,26.859113,41.814208,5.131779,44.138271,mothbeans
38,38,18,26.310518,61.187491,6.29413,35.734038,mothbeans
23,37,24,28.778334,44.22526,7.991902,33.958257,mothbeans
25,35,20,28.902454,43.353657,8.923096,71.900186,mothbeans
40,45,20,29.376875,57.696229,6.878498,38.343035,mothbeans
23,58,19,24.170932,58.252046,5.243635,59.189534,mothbeans
2,56,23,26.65333,59.790234,7.550091,36.918526,mothbeans
3,56,17,28.199121,53.505676,8.709292,52.135805,mothbeans
26,51,25,28.76489,52.627415,7.792508,55.216067,mothbeans
39,42,20,29.349971,61.253539,8.055909,40.828407,mothbeans
27,59,20,28.009374,52.6095,4.397699,36.01203,mothbeans
24,45,19,26.858519,48.824639,5.952385,34.742646,mothbeans
7,40,17,31.212394,40.926049,8.532079,53.7877,mothbeans
15,45,23,24.204226,61.433787,7.224194,46.020396,mothbeans
26,52,23,29.988354,49.603848,4.931891,52.929296,mothbeans
20,45,16,29.939649,54.618135,4.626212,45.436699,mothbeans
34,54,24,31.21193,41.559344,5.026004,68.801418,mothbeans
19,51,25,26.804744,48.239914,3.525366,43.87802,mothbeans
29,41,21,31.493981,62.849169,8.869797,64.568076,mothbeans
20,50,22,30.996947,46.426937,9.406888,38.315979,mothbeans
11,40,23,29.612531,63.047491,5.804286,50.197827,mothbeans
15,54,15,29.976043,57.031844,8.354958,44.860529,mothbeans
35,55,22,30.888831,52.626968,8.63493,55.519324,mothbeans
9,59,25,30.393213,60.162995,7.699201,35.374932,mothbeans
40,45,18,30.436837,55.20522,5.261286,30.92014,mothbeans
35,38,19,25.326888,63.181803,9.112772,32.711293,mothbeans
14,58,17,30.536843,59.966647,4.605701,33.48919,mothbeans
40,55,18,30.382579,40.592607,7.115994,47.954065,mothbeans
18,36,23,24.018254,53.766234,7.214079,35.034044,mothbeans
35,52,15,28.698413,61.147544,9.935091,65.675918,mothbeans
4,59,22,29.337434,49.003231,8.914075,42.440543,mothbeans
22,51,16,27.965837,61.349001,8.639586,70.104721,mothbeans
33,47,17,24.86804,48.27532,8.621514,63.918765,mothbeans
2,51,17,25.876823,45.963419,5.838509,38.532547,mothbeans
16,51,21,31.019636,49.976752,3.532009,32.812965,mothbeans
19,55,20,27.433294,87.805077,7.185301,54.733676,mungbean
8,54,20,28.334043,80.77276,7.034214,38.797641,mungbean
36,55,20,27.014704,84.342627,6.635969,55.296354,mungbean
10,56,16,28.174327,81.045548,6.828187,36.357207,mungbean
22,56,17,29.878881,87.327612,6.89078,44.752159,mungbean
9,57,24,29.892328,89.715033,7.165121,42.99499,mungbean
34,59,23,28.562122,83.248559,6.935804,56.482652,mungbean
31,51,25,27.535929,85.57019,7.196774,53.018992,mungbean
0,49,18,29.683617,87.935981,6.990095,41.824902,mungbean
21,39,20,28.144485,82.119305,7.064782,46.756901,mungbean
28,35,22,29.530376,86.73346,7.156563,59.872321,mungbean
17,52,17,27.883529,86.451476,6.364967,44.644071,mungbean
24,42,23,28.224713,82.359162,6.428054,44.012066,mungbean
28,46,16,29.008124,84.960894,6.664188,45.910114,mungbean
21,38,21,29.755389,86.451933,6.637677,37.546027,mungbean
34,60,25,29.784167,85.16907,6.793856,40.778728,mungbean
19,53,22,27.864013,80.451314,6.852885,42.830539,mungbean
31,58,15,27.110265,84.967717,7.121571,51.526174,mungbean
19,35,24,27.110304,83.642741,6.883308,49.119646,mungbean
24,53,17,28.954512,89.078661,6.421271,57.659014,mungbean
13,47,20,29.2178,87.937242,6.544502,43.138663,mungbean
31,53,16,28.74201,85.816759,6.452006,48.545986,mungbean
28,45,23,29.650212,80.298683,6.489259,56.762784,mungbean
31,37,21,27.23925,86.404241,6.713411,37.312369,mungbean
33,60,15,28.951724,81.670853,6.510841,56.511033,mungbean
34,45,21,28.188371,82.606297,6.28738,37.011104,mungbean
13,57,25,28.300415,86.206816,6.863086,50.473339,mungbean
33,57,17,27.896361,88.717823,6.784153,57.798634,mungbean
32,57,22,28.689985,87.504368,6.769416,44.565984,mungbean
23,59,25,27.826262,88.731002,6.320768,56.688338,mungbean
35,41,18,28.705627,81.592007,6.705009,59.870654,mungbean
6,48,24,28.636281,84.614311,6.790736,48.483193,mungbean
29,36,25,28.285115,88.439398,7.130279,48.566902,mungbean
4,36,22,27.608874,86.133164,7.01274,43.800411,mungbean
10,59,22,28.609011,86.994958,7.155685,36.94617,mungbean
14,48,21,29.24599,84.800841,6.991242,53.432289,mungbean
8,50,21,28.629112,89.114806,6.218924,50.499132,mungbean
20,40,15,29.573295,88.075055,7.199495,45.044671,mungbean
36,43,22,27.826843,87.166791,6.389882,58.372498,mungbean
14,57,15,29.875702,83.147963,6.623438,40.120442,mungbean
11,60,23,27.336844,88.502291,7.033013,51.098026,mungbean
10,59,15,29.830404,89.304283,6.324005,58.866871,mungbean
7,60,25,28.275317,82.760208,6.397637,56.049954,mungbean
2,47,15,29.868601,85.991279,6.401456,58.413941,mungbean
20,45,22,29.588816,89.993969,6.904587,54.961213,mungbean
2,39,15,28.072196,82.911647,6.478557,49.618653,mungbean
27,40,24,27.840265,89.996156,7.063022,52.84626,mungbean
35,48,15,27.108181,87.451267,6.981758,55.03724,mungbean
4,59,25,27.685151,81.942686,6.227134,54.622433,mungbean
1,48,24,29.345946,85.604726,6.232837,59.0363,mungbean
36,43,21,28.363194,84.859361,7.140438,52.930311,mungbean
11,46,24,27.652802,89.806506,6.459252,56.52558,mungbean
34,47,19,27.313728,85.448152,6.568795,53.152231,mungbean
21,44,18,27.0691,86.899341,7.128511,50.467461,mungbean
17,58,20,28.066428,85.916255,6.429379,39.23831,mungbean
25,40,21,27.733291,81.13903,6.248901,44.175809,mungbean
2,38,18,27.536329,89.929082,6.619891,45.485919,mungbean
9,48,20,29.664616,84.281876,6.377569,56.09542,mungbean
37,49,25,29.914544,85.853844,6.41546,41.390815,mungbean
36,38,15,28.363639,87.598107,6.320662,57.995244,mungbean
40,58,15,29.46416,87.6089,6.9784,43.154115,mungbean
30,44,16,29.73013,82.891664,6.442336,50.915113,mungbean
1,59,23,27.46853,87.17649,7.184399,43.78421,mungbean
9,48,22,27.770763,87.099795,6.402926,49.508126,mungbean
14,41,17,29.129395,88.483126,7.085982,36.450128,mungbean
35,52,19,27.106068,89.895933,6.698574,37.456806,mungbean
31,48,17,28.880789,86.942068,6.594739,53.797325,mungbean
4,41,20,28.147209,83.800151,6.647966,37.448005,mungbean
30,37,25,29.891291,80.144872,7.120032,54.796013,mungbean
9,35,20,27.415035,80.980047,6.913809,40.531732,mungbean
20,41,20,29.273086,89.487502,7.073048,50.924655,mungbean
37,50,23,29.652969,88.485874,6.530471,56.019132,mungbean
34,35,21,28.44525,82.676395,6.684381,58.187132,mungbean
14,37,15,27.962357,83.975868,6.581351,48.936695,mungbean
23,39,22,29.256493,81.979522,6.864839,42.024833,mungbean
5,45,21,28.362914,88.009893,6.487124,43.051301,mungbean
22,37,20,27.627495,86.493669,6.605733,39.261376,mungbean
40,51,17,28.660863,86.121946,6.860603,50.015343,mungbean
27,56,20,29.211422,87.114978,6.418743,51.538482,mungbean
31,40,22,29.408894,86.160635,6.365514,53.35487,mungbean
38,36,21,28.029526,84.884573,6.556373,36.120429,mungbean
6,37,17,28.086572,80.350059,6.760694,38.144768,mungbean
6,47,18,29.161746,80.280381,6.715277,40.16546,mungbean
24,44,17,29.859691,80.034996,6.666381,50.664875,mungbean
25,59,19,29.066315,83.68692,6.62663,43.951837,mungbean
32,56,21,27.38539,88.66664,6.702772,58.299331,mungbean
8,45,18,27.930349,85.420587,7.011031,43.250956,mungbean
19,39,17,29.280862,81.800924,6.890156,44.474274,mungbean
39,37,15,28.997315,83.789115,6.821747,59.844992,mungbean
33,37,19,27.926786,86.55432,7.18319,43.482619,mungbean
26,54,17,28.547414,88.957045,6.272588,49.489725,mungbean
21,51,15,29.364884,89.188695,6.679127,48.301593,mungbean
22,54,20,28.561498,83.638022,6.689825,41.013132,mungbean
29,45,16,28.436835,87.913327,6.583382,43.120633,mungbean
4,40,21,28.797281,80.457444,6.725551,44.300705,mungbean
10,37,22,28.727527,89.127604,7.069748,58.529743,mungbean
4,44,19,27.956397,83.52706,6.921994,43.257268,mungbean
20,45,17,28.174587,83.696593,6.770955,37.246465,mungbean
23,45,23,28.776535,86.69134,6.98313,56.124432,mungbean
25,48,21,28.438097,83.489914,6.267684,52.5547,mungbean
56,79,15,29.4844,63.199153,7.454532,71.890907,blackgram
25,62,21,26.73434,68.139997,7.040056,67.150964,blackgram
42,61,22,26.272744,62.288149,7.418651,70.232076,blackgram
42,73,25,34.036792,67.211138,6.501869,73.235736,blackgram
44,58,18,28.036441,65.066017,6.814411,72.495077,blackgram
50,55,16,28.814607,65.335381,7.581443,62.262425,blackgram
35,72,21,34.036195,64.287914,7.741419,66.855109,blackgram
30,64,20,33.864294,61.570725,6.573532,68.021998,blackgram
27,64,21,32.84213,68.684015,7.543804,73.671662,blackgram
50,74,17,27.100533,63.360856,6.540821,73.849499,blackgram
39,73,24,25.658425,61.182358,7.224059,69.286078,blackgram
57,67,25,32.34744,66.614528,7.551364,64.558823,blackgram
52,63,19,29.58949,68.321768,6.928899,67.530212,blackgram
55,66,22,30.912195,68.794274,7.747775,66.638306,blackgram
51,56,18,28.127878,64.209777,6.706506,70.863408,blackgram
36,66,15,30.085454,69.34812,6.668239,67.136744,blackgram
59,55,19,31.743795,62.510077,7.332375,68.970975,blackgram
50,58,23,27.813269,62.504605,7.596802,69.755555,blackgram
30,65,25,32.887338,64.594574,7.706509,71.505695,blackgram
20,62,18,29.363587,64.987429,7.366543,61.912087,blackgram
58,71,15,27.825928,67.586188,6.919244,74.012297,blackgram
25,71,24,28.495387,60.448484,7.187722,74.915595,blackgram
52,71,16,27.742748,68.539971,7.075886,71.786153,blackgram
40,63,18,30.415885,67.663238,6.744412,63.024732,blackgram
20,60,25,27.325421,69.090478,6.726469,61.192509,blackgram
48,61,21,30.284966,61.692951,6.628265,65.628595,blackgram
49,68,22,28.568406,61.532786,7.127064,63.497263,blackgram
48,62,15,25.365861,66.637972,7.538631,65.816559,blackgram
32,66,17,34.946616,65.26774,7.162358,70.141514,blackgram
21,63,22,25.097374,67.728379,6.859409,74.616499,blackgram
20,72,19,32.476483,64.348487,7.397191,65.820457,blackgram
25,65,21,33.863512,68.592323,6.880246,69.244641,blackgram
41,78,21,25.198577,60.373327,6.581313,70.887872,blackgram
53,67,17,31.776817,69.018529,7.296972,61.468929,blackgram
39,60,21,34.898149,63.599486,6.972977,64.727971,blackgram
25,76,17,31.741054,68.635254,7.241149,62.306173,blackgram
21,78,19,27.161591,66.760172,6.92009,69.851123,blackgram
57,60,17,26.237731,67.885214,7.504608,73.58664,blackgram
56,75,15,30.201572,60.065349,7.152272,66.371712,blackgram
49,72,15,31.558463,67.835638,7.137005,74.869608,blackgram
24,80,19,29.678925,69.085455,6.808042,65.664366,blackgram
49,76,18,27.053652,67.701753,7.393632,60.469383,blackgram
28,68,19,34.63881,61.385979,7.699507,72.431691,blackgram
55,78,21,33.394388,62.936929,6.602888,63.57446,blackgram
50,64,25,28.840792,63.372307,6.734447,70.254967,blackgram
34,80,19,31.493383,63.056365,6.521218,71.48327,blackgram
20,68,23,25.549606,63.954255,7.707332,63.183053,blackgram
55,67,16,34.373291,69.693664,6.596719,70.271847,blackgram
23,70,15,34.600825,63.112968,7.403623,60.417903,blackgram
53,74,15,29.434638,64.943294,7.517097,72.178182,blackgram
26,67,16,29.107131,67.905774,7.176208,67.833459,blackgram
33,80,22,28.570061,65.717658,6.593962,70.086643,blackgram
37,79,19,27.543848,69.347863,7.143943,69.408782,blackgram
33,75,21,33.04688,68.938756,6.690655,62.302783,blackgram
22,55,20,33.953091,69.961,7.42353,61.163505,blackgram
20,68,17,30.11873,60.116808,6.578715,71.729804,blackgram
43,68,20,29.578127,66.175877,7.497469,69.438955,blackgram
44,76,22,27.264589,68.012329,7.775306,68.917544,blackgram
34,60,16,31.357308,64.249921,7.322555,63.856689,blackgram
21,72,17,31.521047,66.557237,7.580527,61.711114,blackgram
25,68,19,29.399827,64.255107,7.10845,67.476773,blackgram
41,62,15,29.384003,64.149285,7.358975,65.241944,blackgram
28,65,23,28.386865,61.888711,7.405176,74.244591,blackgram
35,64,15,28.474423,63.536045,6.500145,69.527441,blackgram
52,58,16,30.640958,61.145086,7.167436,71.369475,blackgram
58,75,25,25.255962,61.366697,7.261792,68.646851,blackgram
34,66,19,32.970305,60.181221,7.586642,73.446787,blackgram
52,70,16,33.668554,66.604169,7.534812,67.325206,blackgram
23,57,19,32.839638,67.998036,7.251001,73.404527,blackgram
42,58,25,27.458536,62.90021,6.513621,69.460209,blackgram
37,62,17,25.685767,69.84354,7.121255,74.620687,blackgram
44,75,22,30.03284,64.148005,7.574562,71.210069,blackgram
21,80,20,28.206673,68.270852,7.35087,64.328871,blackgram
56,76,16,28.272659,61.189562,7.513151,63.299008,blackgram
29,76,15,28.541724,64.202015,7.025608,69.688623,blackgram
43,61,20,26.87187,61.613673,6.804254,63.51822,blackgram
55,60,15,32.797668,68.779941,7.163044,64.114111,blackgram
44,63,15,26.42333,64.511368,7.33893,63.465465,blackgram
29,67,21,29.791811,63.387892,6.621324,63.021699,blackgram
47,63,16,27.440033,67.104644,6.661871,72.506698,blackgram
40,68,17,34.126298,65.148775,7.73315,70.40795,blackgram
58,61,15,30.949082,64.233641,7.402892,62.787309,blackgram
41,74,18,28.757518,61.027015,6.599147,73.376868,blackgram
58,79,17,27.247665,66.101231,7.041741,62.318421,blackgram
27,62,24,28.630055,66.770943,7.353877,62.273735,blackgram
27,60,17,26.417683,63.646983,7.026795,64.421771,blackgram
52,65,20,32.817052,66.156651,6.814301,68.839249,blackgram
44,55,25,29.632105,65.9136,7.421608,71.16332,blackgram
21,62,24,33.490771,62.733172,6.847383,65.453285,blackgram
60,59,22,31.868473,66.742175,7.191523,74.222386,blackgram
33,77,21,30.329922,65.629719,7.012855,71.646313,blackgram
59,58,17,28.546224,66.313941,7.368319,62.834699,blackgram
29,63,17,30.026299,67.888116,7.261543,66.472646,blackgram
59,63,18,31.655312,60.132637,6.526692,66.690968,blackgram
29,70,15,30.334997,63.547189,6.872594,74.166991,blackgram
58,73,16,33.369844,65.677182,6.874142,64.895175,blackgram
55,77,22,31.434506,62.993035,7.760618,64.776515,blackgram
42,79,23,27.716783,63.291034,6.781842,68.56508,blackgram
44,77,21,32.639187,61.300905,7.32698,61.838761,blackgram
38,62,25,32.747739,67.779546,7.453975,63.377844,blackgram
32,76,15,28.051536,63.498022,7.60411,43.357954,lentil
13,61,22,19.440843,63.277715,7.728832,46.831301,lentil
38,60,20,29.848231,60.638726,7.491217,46.804526,lentil
11,74,17,21.363838,69.923759,6.633865,46.635286,lentil
37,71,16,26.286639,68.519667,7.324863,46.13833,lentil
29,71,18,22.175,62.138738,6.410441,53.466226,lentil
2,72,18,26.575975,60.978766,7.83672,50.891107,lentil
6,59,21,26.589725,66.140077,6.139216,50.909945,lentil
13,64,20,19.134577,62.575269,6.590571,36.46947,lentil
8,58,17,28.752731,69.156401,7.28605,35.154262,lentil
6,77,20,25.787463,60.28163,6.058306,49.143372,lentil
2,75,22,23.892719,61.787794,6.658605,52.557301,lentil
3,69,23,28.674088,63.18833,7.299361,42.960186,lentil
27,80,24,28.420628,61.773363,7.815211,49.023668,lentil
39,78,15,21.354995,62.601363,5.925392,41.782198,lentil
40,79,17,21.126956,63.187385,6.403684,38.718345,lentil
37,62,22,24.020379,61.623133,7.397546,49.781026,lentil
31,60,24,25.404744,65.856754,7.722336,51.920573,lentil
22,67,22,29.030176,64.491666,7.475927,54.939377,lentil
3,78,18,20.213682,68.652577,6.88713,50.89733,lentil
4,80,16,29.195855,68.019657,7.441977,44.932619,lentil
13,61,24,18.297836,69.689762,7.62991,49.391115,lentil
12,66,20,27.41435,63.41786,7.336117,44.431775,lentil
4,61,21,24.84064,60.091166,6.750205,48.777904,lentil
9,60,21,29.944139,67.313231,7.52178,40.371137,lentil
18,66,22,25.879903,67.55109,6.347379,47.896452,lentil
32,56,18,20.046771,65.843953,7.135252,46.053331,lentil
6,72,15,22.99452,66.708972,7.670178,54.490442,lentil
15,77,20,25.131636,66.926424,7.399749,49.040156,lentil
0,65,24,28.495844,62.446162,7.841496,53.14531,lentil
30,79,22,18.287661,69.485151,6.254217,48.604494,lentil
3,63,16,24.380419,61.184582,6.868882,53.139467,lentil
2,78,23,21.318521,66.439346,7.320515,45.426168,lentil
10,78,18,18.541418,62.706376,6.296977,44.078197,lentil
14,67,25,25.287106,60.859935,7.241152,49.3737,lentil
39,65,23,25.434598,69.126134,7.685959,41.026829,lentil
19,72,15,28.83601,69.761129,6.89076,44.085625,lentil
18,57,21,27.376596,63.939278,6.155916,49.473718,lentil
31,58,15,28.318869,60.194614,6.167855,45.365213,lentil
28,58,25,27.481865,62.04815,6.86164,37.81124,lentil
5,65,19,18.280722,68.103654,6.978362,48.802533,lentil
16,65,19,27.61205,69.297862,7.04316,42.723744,lentil
34,65,19,23.439747,63.220117,5.942392,45.402773,lentil
14,69,19,20.956285,63.681288,7.239455,52.398812,lentil
22,55,16,23.793715,68.032092,6.516318,49.739221,lentil
24,61,17,22.637142,65.445449,6.233269,38.304111,lentil
2,79,15,21.535779,65.472277,7.505284,35.751076,lentil
26,63,17,29.878546,65.730852,6.950301,44.956548,lentil
27,61,15,25.265329,67.100046,6.958055,48.339412,lentil
24,70,16,25.178853,68.933073,6.548035,35.034848,lentil
13,74,25,24.121926,61.095335,6.461619,44.236293,lentil
6,64,23,23.335652,67.404607,7.065264,36.186787,lentil
12,58,23,21.746001,63.395032,6.765091,50.433061,lentil
32,79,22,27.601955,63.461707,5.916454,54.378142,lentil
6,68,18,24.388717,62.504531,6.711341,47.260525,lentil
10,79,20,24.982875,66.895409,6.379881,38.213706,lentil
38,77,22,28.234829,69.315996,6.313284,35.368314,lentil
17,74,17,26.03027,69.558631,7.393211,37.113958,lentil
26,68,24,28.048496,64.076919,7.504931,37.15825,lentil
23,75,17,24.874255,64.002139,7.198076,48.281375,lentil
32,78,22,23.970814,62.355576,7.007038,53.40906,lentil
19,79,19,20.06004,67.762526,6.677263,42.895091,lentil
22,60,18,19.59221,61.286334,6.74398,41.770489,lentil
28,69,16,29.770131,66.29327,6.547362,35.696741,lentil
1,67,21,27.521354,60.536577,6.551578,48.064913,lentil
12,67,23,25.628962,63.149098,6.58502,45.49684,lentil
36,67,20,20.390783,60.475289,6.924042,53.315086,lentil
28,70,21,25.390384,60.498966,7.437374,39.183745,lentil
12,71,19,24.910796,60.713674,7.142611,42.197404,lentil
22,68,16,27.704968,63.20915,7.746724,37.461607,lentil
26,66,22,18.064861,65.103435,6.300479,51.549228,lentil
16,65,16,18.130278,62.458516,6.078724,50.612852,lentil
14,59,22,23.827235,67.898153,6.766607,46.907251,lentil
33,59,19,23.193053,62.747108,7.641024,49.552133,lentil
21,63,17,25.089661,68.175431,6.559682,41.454866,lentil
0,69,21,25.869282,61.883211,7.072923,36.68284,lentil
10,75,17,18.43966,68.05395,7.732195,39.009921,lentil
30,61,18,27.149111,67.026643,6.157783,52.508127,lentil
0,74,17,23.333759,64.505158,7.240988,47.015107,lentil
35,74,22,26.723001,62.968418,6.898906,42.872749,lentil
